class,feature,n_positive,n_negative,class_min,class_p10,class_p25,class_median,class_p75,class_p90,class_max,class_mean,class_std,other_min,other_p10,other_p25,other_median,other_p75,other_p90,other_max,other_mean,other_std,median_gap,auc,strength,direction,recommendation
01_Good,axis_aligned_line_ratio,50,250,0.006589785831960461,0.008087834133199759,0.009752254537424426,0.011174209247291966,0.012481992569565548,0.01390033786343045,0.02044153720359771,0.011281454417239021,0.0027395179750992135,0.0,0.0,0.008302204378403922,0.01230012506892239,0.015718816240791977,0.12674880763116053,1.0,0.07657514766991934,0.2296764172590429,-0.001125915821630425,0.43444,0.13112000000000001,LOW,DROP
01_Good,background_mad,50,250,17.7912,25.05594,38.547599999999996,56.3388,60.7866,62.2692,65.2344,49.22231999999999,14.619969643689416,1.4826,5.9304,13.714049999999999,53.373599999999996,59.303999999999995,62.2692,69.6822,40.961272799999996,23.140798476159375,2.965200000000003,0.58476,0.1695199999999999,HIGH,DROP
01_Good,background_median,50,250,31.0,48.6,72.25,110.0,119.75,124.1,131.0,97.08,30.604470261711768,1.0,7.0,24.25,107.5,120.75,126.0,133.0,80.688,47.37609793978394,2.5,0.577,0.15399999999999991,HIGH,DROP
01_Good,bright_area_ratio,50,250,1.430511474609375e-05,0.000185394287109375,0.0007777214050292969,0.002200603485107422,0.012392282485961914,0.023450279235839845,0.032418251037597656,0.007498683929443359,0.00923247394250276,0.0,0.0,2.6226043701171875e-05,0.0031652450561523438,0.013275146484375,0.02592811584472656,0.047771453857421875,0.008780006408691407,0.011184367316717375,-0.0009646415710449219,0.52416,0.04831999999999992,HIGH,DROP
01_Good,diagonal_line_ratio,50,250,0.9721995094031071,0.9834031156974578,0.9844612499576687,0.9857842894456166,0.9874962907938978,0.9893357767142379,0.9925311203319502,0.985776306317375,0.003253290458162207,0.0,0.0,0.9747866517810241,0.9833266933024362,0.9868744872846595,0.990313394628819,1.0,0.8134486571692744,0.35984293546637214,0.0024575961431804183,0.66196,0.32392,HIGH,DROP
01_Good,elongated_angle_consistency,50,250,0.0,0.0,0.0,0.1478481410631624,0.42464313004594756,0.6902242811127999,1.0,0.2514443632295052,0.299260233761176,0.0,0.0,0.0,0.14285714285714285,0.5367029727199426,0.8662093493070937,1.0,0.29494361271656794,0.33335600631976015,0.004990998206019559,0.47872,0.04256000000000004,LOW,DROP
01_Good,elongated_angle_std,50,250,0.0,24.663491889588855,37.4949770941196,56.10308939536763,180.0,180.0,180.0,89.54145987701163,67.341522318369,0.0,15.353595008070076,31.960325565999792,56.51568894506676,180.0,180.0,180.0,89.32195582292576,69.9051094638334,-0.4125995496991308,0.52132,0.04264000000000001,HIGH,DROP
01_Good,elongated_star_count,50,250,0.0,0.0,1.0,3.5,19.0,29.1,41.0,9.96,11.44370569352428,0.0,0.0,0.0,5.0,15.0,24.0,253.0,10.668,19.91697205902544,-1.5,0.52996,0.05991999999999997,HIGH,DROP
01_Good,elongated_star_ratio,50,250,0.0,0.0,0.035121328224776496,0.05839291794347974,0.09880952380952382,0.18875000000000003,1.0,0.1133010029093035,0.1981591657522585,0.0,0.0,0.0,0.05343065693430657,0.1288124430033438,0.23076923076923078,1.0,0.09710938938135354,0.1339779505659126,0.004962261009173172,0.52848,0.0569599999999999,HIGH,DROP
01_Good,line_angle_std,50,250,4.591307409858356,5.053888734798303,5.32112824001833,5.515128891502924,5.744107046125025,6.039670205857722,7.623962800527149,5.561327317474655,0.4919233169201035,0.0,0.0,4.806959443382956,5.610308698735334,6.133116522839892,8.149970484254828,26.91413592229214,5.818636081393383,4.642834838782533,-0.0951798072324106,0.48128,0.03744000000000003,LOW,DROP
01_Good,long_line_count,50,250,1195.0,1201.8,1208.0,1218.5,1233.75,1271.2,1351.0,1229.86,35.23635054882954,0.0,0.0,206.5,1208.0,1225.0,1251.1,1321.0,902.652,528.078080302525,10.5,0.66056,0.32112000000000007,HIGH,DROP
01_Good,longest_line_ratio,50,250,0.9726562499999999,0.9920898437499999,0.99609375,0.9970703125,0.998046875,0.9990234375,0.9990234375,0.99609375,0.004780171191609561,0.0,0.0,0.8035625394401223,0.9970703125,0.998046875,0.9990234375,0.9990234375,0.7853042893639738,0.3701825760945803,0.0,0.58972,0.17944000000000004,HIGH,DROP
