class_a,class_b,feature,mean_auc,std_auc,min_auc,max_auc,mean_strength,std_strength,min_strength,max_strength,direction,direction_consistency,candidate_score
01_Good,02_Out_of_Focus,axis_aligned_line_ratio,0.34,0.026832815729997475,0.31,0.38,0.32,0.05366563145999496,0.24,0.38,LOW,1.0,0.4606334368540005
01_Good,02_Out_of_Focus,background_mad,0.77,0.09909591313469997,0.635,0.915,0.54,0.19819182626939993,0.27,0.8300000000000001,HIGH,1.0,0.55418081737306
01_Good,02_Out_of_Focus,background_median,0.791,0.07310266752998827,0.71,0.885,0.5820000000000001,0.14620533505997654,0.41999999999999993,0.77,HIGH,1.0,0.6232794664940025
01_Good,02_Out_of_Focus,bright_area_ratio,0.49399999999999994,0.06829348431585548,0.39,0.58,0.11599999999999999,0.07310266752998823,0.0,0.21999999999999997,HIGH,0.5,0.21988973324700117
01_Good,02_Out_of_Focus,diagonal_line_ratio,0.834,0.09221713506718804,0.69,0.98,0.6679999999999999,0.18443427013437608,0.3799999999999999,0.96,HIGH,1.0,0.6461565729865624
01_Good,02_Out_of_Focus,elongated_angle_consistency,0.44699999999999995,0.05095095681142799,0.35,0.495,0.10600000000000001,0.10190191362285597,0.010000000000000009,0.30000000000000004,LOW,1.0,0.2905098086377144
01_Good,02_Out_of_Focus,elongated_angle_std,0.553,0.050950956811427986,0.505,0.65,0.10600000000000005,0.10190191362285597,0.010000000000000009,0.30000000000000004,HIGH,1.0,0.2905098086377144
01_Good,02_Out_of_Focus,elongated_radial_alignment,0.471,0.06374950980203692,0.36,0.53,0.10600000000000002,0.09156418513807676,0.020000000000000018,0.28,LOW,0.6,0.23454358148619237
01_Good,02_Out_of_Focus,elongated_star_count,0.461,0.0435201102939779,0.425,0.54,0.11000000000000003,0.03949683531626298,0.050000000000000044,0.15000000000000002,LOW,0.8,0.2805503164683737
01_Good,02_Out_of_Focus,elongated_star_ratio,0.32999999999999996,0.07968688725254615,0.21,0.455,0.33999999999999997,0.15937377450509232,0.08999999999999997,0.5800000000000001,LOW,1.0,0.4140626225494907
01_Good,02_Out_of_Focus,line_angle_std,0.382,0.11496086290559931,0.25,0.56,0.284,0.16704490414256878,0.07999999999999996,0.5,LOW,0.8,0.3550955095857431
01_Good,02_Out_of_Focus,long_line_count,0.5389999999999999,0.08126499861564015,0.4,0.63,0.15799999999999997,0.08681013765684281,0.0,0.26,HIGH,0.75,0.2749189862343157
01_Good,02_Out_of_Focus,longest_line_ratio,0.6229999999999999,0.07922120928135344,0.53,0.76,0.246,0.15844241856270688,0.06000000000000005,0.52,HIGH,1.0,0.3628557581437294
01_Good,02_Out_of_Focus,max_aspect_ratio,0.46299999999999997,0.06546754921333163,0.405,0.585,0.142,0.04955804677345544,0.06000000000000005,0.18999999999999995,LOW,0.8,0.2969441953226545
01_Good,02_Out_of_Focus,max_streak_area_ratio,0.546,0.060199667773169645,0.46,0.64,0.124,0.08708616422830895,0.020000000000000018,0.28,HIGH,0.8,0.2730913835771691
01_Good,02_Out_of_Focus,max_streak_aspect_ratio,0.582,0.09130169768410662,0.48,0.7,0.18000000000000002,0.16685322891691365,0.0,0.3999999999999999,HIGH,0.75,0.27681467710830865
01_Good,02_Out_of_Focus,max_streak_length_ratio,0.618,0.0370944739819828,0.55,0.65,0.23600000000000004,0.07418894796396562,0.10000000000000009,0.30000000000000004,HIGH,1.0,0.3787811052036035
01_Good,02_Out_of_Focus,mean_aspect_ratio,0.35,0.13928388277184117,0.19,0.57,0.356,0.20214846029589245,0.09999999999999998,0.62,LOW,0.8,0.3899851539704108
01_Good,02_Out_of_Focus,mean_circularity,0.8140000000000001,0.09002221947941517,0.72,0.97,0.628,0.18004443895883038,0.43999999999999995,0.94,HIGH,1.0,0.646595556104117
01_Good,02_Out_of_Focus,mean_fwhm,0.524,0.08799999999999998,0.43,0.69,0.12,0.1374045122985413,0.020000000000000018,0.3799999999999999,HIGH,0.6,0.23625954877014588
01_Good,02_Out_of_Focus,mean_hfr,0.656,0.06406246951218784,0.56,0.74,0.312,0.1281249390243757,0.1200000000000001,0.48,HIGH,1.0,0.41358750609756245
