class,feature,n,min,p10,p25,p50,p75,p90,max,mean,std
01_Good,axis_aligned_line_ratio,50,0.006589785831960461,0.008087834133199759,0.009752254537424426,0.011174209247291966,0.012481992569565548,0.01390033786343045,0.02044153720359771,0.011281454417239021,0.0027395179750992135
01_Good,background_mad,50,17.7912,25.05594,38.547599999999996,56.3388,60.7866,62.2692,65.2344,49.22231999999999,14.619969643689416
01_Good,background_median,50,31.0,48.6,72.25,110.0,119.75,124.1,131.0,97.08,30.604470261711768
01_Good,bright_area_ratio,50,1.430511474609375e-05,0.000185394287109375,0.0007777214050292969,0.002200603485107422,0.012392282485961914,0.023450279235839845,0.032418251037597656,0.007498683929443359,0.00923247394250276
01_Good,diagonal_line_ratio,50,0.9721995094031071,0.9834031156974578,0.9844612499576687,0.9857842894456166,0.9874962907938978,0.9893357767142379,0.9925311203319502,0.985776306317375,0.003253290458162207
01_Good,elongated_angle_consistency,50,0.0,0.0,0.0,0.1478481410631624,0.42464313004594756,0.6902242811127999,1.0,0.2514443632295052,0.299260233761176
01_Good,elongated_angle_std,50,0.0,24.663491889588855,37.4949770941196,56.10308939536763,180.0,180.0,180.0,89.54145987701163,67.341522318369
01_Good,elongated_star_count,50,0.0,0.0,1.0,3.5,19.0,29.1,41.0,9.96,11.44370569352428
01_Good,elongated_star_ratio,50,0.0,0.0,0.035121328224776496,0.05839291794347974,0.09880952380952382,0.18875000000000003,1.0,0.1133010029093035,0.1981591657522585
01_Good,line_angle_std,50,4.591307409858356,5.053888734798303,5.32112824001833,5.515128891502924,5.744107046125025,6.039670205857722,7.623962800527149,5.561327317474655,0.4919233169201035
01_Good,long_line_count,50,1195.0,1201.8,1208.0,1218.5,1233.75,1271.2,1351.0,1229.86,35.23635054882954
01_Good,longest_line_ratio,50,0.9726562499999999,0.9920898437499999,0.99609375,0.9970703125,0.998046875,0.9990234375,0.9990234375,0.99609375,0.004780171191609561
01_Good,max_aspect_ratio,50,1.1,1.325,1.6166666666666667,2.1714285714285717,3.0,3.516666666666667,4.666666666666667,2.312857142857143,0.8812916978443304
01_Good,max_streak_area_ratio,50,0.00014019012451171875,0.0008723258972167969,0.0014951229095458984,0.003827810287475586,0.013818740844726562,0.03227276802062989,0.05600452423095703,0.01125560760498047,0.014157837961418765
01_Good,max_streak_aspect_ratio,50,1.5447455670105796,2.693310565059848,2.9697087794658152,3.2486560775504145,3.8544355298688915,4.7162228325337505,6.076923076923077,3.5144638823556056,0.8961181110501141
01_Good,max_streak_length_ratio,50,0.025919882463180624,0.03736517606793114,0.04328881144439613,0.09993298058475572,0.1432556787538991,0.26248564766659954,0.5434502312439579,0.1189402592732035,0.100381327648473
01_Good,mean_aspect_ratio,50,1.025,1.098137808483077,1.1249921972534334,1.1515541035084587,1.1831930014430014,1.2467640692640694,1.6666666666666667,1.1732670659061168,0.10250679298268546
01_Good,mean_circularity,50,0.6981317007977318,0.7421614426933775,0.7674611844450305,0.7877644409850854,0.7996751075909777,0.8046181751049073,0.8291420057483849,0.7802962472047743,0.026164055037746114
01_Good,mean_fwhm,50,12.267666071933633,16.74896826011668,18.94813312473451,20.638451329439437,21.669854817232828,23.13115345921128,26.365451584035668,20.32491837451584,2.5141888468407307
01_Good,mean_hfr,50,6.367039698691947,8.831167629249387,10.04231818732033,10.9884632588543,11.48016511935531,12.375965276774158,14.218188253129952,10.701339697343451,1.46989131976528
01_Good,mean_hollowness,50,3.92156862538684e-09,3.92156862538684e-09,3.92156862538684e-09,0.004880065017786364,0.011311932389410794,0.03222584240580345,0.05604245981173756,0.009895282861194349,0.013657833726494203
01_Good,mean_intensity,50,36.59218883514404,53.09723482131958,76.05976891517639,112.86551856994629,122.45696926116943,124.63222827911378,129.6940803527832,99.62710819244384,28.91323901773065
01_Good,mean_star_area,50,8.0,19.964285714285715,27.64032258064516,32.18374316939891,40.841014040145204,48.426213946695874,61.293103448275865,33.53466675627526,10.8275908713363
01_Good,median_eccentricity,50,0.27117165145140565,0.3263374132126976,0.348900226721258,0.36816300753722386,0.4442946040461282,0.5270914483324807,0.6128029873567216,0.4002644312416434,0.07786109894061931
01_Good,median_fwhm,50,12.251657000662487,15.59057823931812,17.324463289934595,18.531674543614145,20.856698690146345,22.91508028775154,25.366975686825903,18.842775085681595,2.9803264535559744
01_Good,median_fwhm_ratio,50,1.0389275720775777,1.0579207977651168,1.06708221404795,1.0776942634162463,1.1163534405594862,1.1767361067117301,1.2654455193670937,1.0985578038873152,0.04796430577940028
01_Good,median_hfr,50,6.049485362023873,7.634046079831503,8.778380602901024,9.88101005231583,10.802992142924678,11.724290459867682,13.78863487901468,9.804117539727732,1.7548491023301829
01_Good,saturated_ratio,50,0.0,0.0,0.0,0.02121114730834961,0.022716283798217773,0.024025821685791017,0.02590465545654297,0.015224857330322266,0.01051157610832354
01_Good,sharpness,50,4520.957003521173,10024.910535080015,17794.20228797837,50840.19299596723,61753.83270462561,68749.2080163764,71546.24025432761,42724.16726681142,22296.46824170288
01_Good,star_count,50,1.0,5.800000000000001,16.5,64.0,246.75,485.50000000000006,788.0,164.8,206.8054157898192
01_Good,std_intensity,50,28.6776061170308,34.543694386535705,42.96122768207007,56.8660633477098,58.79719933482609,59.909774053701575,60.99954319504966,51.35748143833329,10.063088488337451
01_Good,streak_count,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_Good,valid_profile_count,50,1.0,5.800000000000001,16.5,64.0,246.75,485.50000000000006,788.0,164.8,206.8054157898192
02_Out_of_Focus,axis_aligned_line_ratio,50,0.0,0.0,0.009994425288269534,0.014281685778993605,0.01774966899943257,0.15632821326926105,1.0,0.06051685168771598,0.15392132258392974
02_Out_of_Focus,background_mad,50,1.4826,7.26474,11.8608,36.323699999999995,51.891,57.96966,62.2692,32.379984,20.52072653161539
02_Out_of_Focus,background_median,50,3.0,10.8,22.25,71.0,103.5,110.30000000000001,123.0,62.18,40.93785045651518
02_Out_of_Focus,bright_area_ratio,50,0.0,8.58306884765625e-06,9.655952453613281e-05,0.007927417755126953,0.012548208236694336,0.034276962280273444,0.047771453857421875,0.011413040161132813,0.013936611210620035
02_Out_of_Focus,diagonal_line_ratio,50,0.0,0.0,0.7830882352941176,0.9812916716332364,0.98434260986733,0.9861143747006539,0.9907640638119227,0.7531748118537129,0.38424791801358166
02_Out_of_Focus,elongated_angle_consistency,50,0.0,0.0,0.0,0.30439426761293464,0.5275872780801776,0.7503351624754026,0.9805806781518089,0.31081208219600903,0.29892942112454307
02_Out_of_Focus,elongated_angle_std,50,5.67349076218429,21.713324678489805,32.397277695039534,44.21804837302203,180.0,180.0,180.0,81.12345873153232,66.40321090432938
02_Out_of_Focus,elongated_star_count,50,0.0,0.0,1.0,9.5,20.0,27.1,76.0,12.46,14.739348696601219
02_Out_of_Focus,elongated_star_ratio,50,0.0,0.0,0.06418773042813963,0.12627713920817368,0.20789473684210524,0.502,1.0,0.18335489446699044,0.1973050914585372
02_Out_of_Focus,line_angle_std,50,0.0,0.0,5.289354672764957,5.819379038551007,6.320510129630822,19.636053700593163,26.91413592229214,7.367897436829555,6.664502875693289
02_Out_of_Focus,long_line_count,50,0.0,0.0,47.0,1230.0,1250.5,1275.5,1304.0,820.74,568.180176000536
02_Out_of_Focus,longest_line_ratio,50,0.0,0.0,0.36008603236746606,0.99658203125,0.998046875,0.9990234375,0.9990234375,0.7218864751999503,0.40686551666676973
