class,feature,mean_auc,std_auc,min_auc,max_auc,mean_strength,std_strength,min_strength,max_strength,direction,direction_consistency,candidate,candidate_score
03_Tracking_Error,max_aspect_ratio,0.49939999999999996,0.06609871405708283,0.391,0.564,0.1196,0.05633329388558774,0.050000000000000044,0.21799999999999997,HIGH,0.6,DROP,0.25318667061144123
03_Tracking_Error,max_streak_area_ratio,0.5108,0.06482715480414052,0.432,0.588,0.11599999999999996,0.06181262007066192,0.0040000000000000036,0.17599999999999993,HIGH,0.6,DROP,0.2372187379929338
03_Tracking_Error,max_streak_aspect_ratio,0.5654,0.06888134725743973,0.465,0.666,0.1588,0.10425814116892744,0.03600000000000003,0.3320000000000001,HIGH,0.8,DROP,0.2918341858831073
03_Tracking_Error,max_streak_length_ratio,0.532,0.04635515073861802,0.468,0.59,0.09919999999999998,0.05339063588308344,0.02400000000000002,0.17999999999999994,HIGH,0.6,DROP,0.23650093641169165
03_Tracking_Error,mean_aspect_ratio,0.603,0.030252272641902486,0.566,0.649,0.20599999999999996,0.06050454528380497,0.1319999999999999,0.29800000000000004,HIGH,1.0,DROP,0.3762495454716195
03_Tracking_Error,mean_circularity,0.4072,0.06751118425861008,0.306,0.492,0.18560000000000001,0.13502236851722013,0.016000000000000014,0.388,LOW,1.0,DROP,0.324817763148278
03_Tracking_Error,mean_fwhm,0.6352,0.06945041396564892,0.5,0.686,0.2704000000000001,0.13890082793129785,0.0,0.3720000000000001,HIGH,1.0,DROP,0.35778991720687026
03_Tracking_Error,mean_hfr,0.6404,0.08896201436568306,0.48,0.726,0.2968,0.14971760083570665,0.040000000000000036,0.45199999999999996,HIGH,0.8,DROP,0.35058823991642935
03_Tracking_Error,mean_hollowness,0.5346,0.08355022441621568,0.428,0.644,0.1428,0.1109926123667697,0.0040000000000000036,0.28800000000000003,LOW,0.6,DROP,0.24436073876332304
03_Tracking_Error,mean_intensity,0.542,0.06066300355241241,0.476,0.642,0.11600000000000002,0.09121403400793103,0.03200000000000003,0.28400000000000003,HIGH,0.6,DROP,0.24267859659920693
03_Tracking_Error,mean_star_area,0.5564,0.061701215547183504,0.452,0.634,0.15119999999999997,0.07134816045281055,0.06000000000000005,0.268,HIGH,0.8,DROP,0.29890518395471893
03_Tracking_Error,median_eccentricity,0.5496,0.08243688494842585,0.424,0.634,0.176,0.07776888838089431,0.040000000000000036,0.268,HIGH,0.6,DROP,0.27342311116191054
03_Tracking_Error,median_fwhm,0.6152,0.07270323239031398,0.492,0.702,0.23679999999999998,0.13473292099557554,0.016000000000000014,0.4039999999999999,HIGH,0.8,DROP,0.31788670790044243
03_Tracking_Error,median_fwhm_ratio,0.5471999999999999,0.08094047195315827,0.424,0.634,0.1712,0.07620603650630309,0.040000000000000036,0.268,HIGH,0.6,DROP,0.27141939634936973
03_Tracking_Error,median_hfr,0.6359999999999999,0.08673638221646095,0.486,0.75,0.2832,0.15451394759050072,0.028000000000000025,0.5,HIGH,0.8,DROP,0.34038860524094994
03_Tracking_Error,saturated_ratio,0.5130000000000001,0.039668627402520515,0.45,0.562,0.07560000000000004,0.035426543720775264,0.02400000000000002,0.12400000000000011,HIGH,0.6,DROP,0.22767734562792252
03_Tracking_Error,sharpness,0.5691999999999999,0.08639074024454242,0.452,0.686,0.1832,0.12428097199491163,0.016000000000000014,0.3720000000000001,HIGH,0.6,DROP,0.26481190280050887
03_Tracking_Error,star_count,0.5359999999999999,0.0991201291363162,0.413,0.703,0.1728,0.12092708546888903,0.07799999999999996,0.4059999999999999,HIGH,0.6,DROP,0.2790672914531111
03_Tracking_Error,std_intensity,0.5684,0.05203690997743813,0.492,0.632,0.14320000000000005,0.0950755489071717,0.016000000000000014,0.264,HIGH,0.8,DROP,0.27973244510928286
03_Tracking_Error,streak_count,0.454,0.030066592756745822,0.42,0.51,0.1,0.045607017003965515,0.020000000000000018,0.16000000000000003,LOW,0.8,DROP,0.26643929829960344
03_Tracking_Error,valid_profile_count,0.5359999999999999,0.0991201291363162,0.413,0.703,0.1728,0.12092708546888903,0.07799999999999996,0.4059999999999999,HIGH,0.6,DROP,0.2790672914531111
04_Over_Saturated,axis_aligned_line_ratio,0.4248,0.15211758609707163,0.15,0.603,0.23839999999999995,0.24154635165946925,0.014000000000000012,0.7,LOW,0.6,DROP,0.27732536483405307
04_Over_Saturated,background_mad,0.0634,0.02403830276870645,0.043,0.098,0.8732000000000001,0.048076605537412886,0.804,0.914,LOW,1.0,CORE,0.8793323394462588
04_Over_Saturated,background_median,0.0596,0.031039329889673842,0.03,0.113,0.8808,0.06207865977934768,0.774,0.94,LOW,1.0,CORE,0.8723521340220652
04_Over_Saturated,bright_area_ratio,0.8588000000000001,0.0466921835000249,0.792,0.938,0.7175999999999999,0.0933843670000498,0.5840000000000001,0.8759999999999999,HIGH,1.0,CORE,0.738781563299995
04_Over_Saturated,diagonal_line_ratio,0.27020000000000005,0.14031450388324082,0.116,0.527,0.4812,0.2417257950654005,0.05400000000000005,0.768,LOW,0.8,DROP,0.42856742049346
04_Over_Saturated,elongated_angle_consistency,0.6062000000000001,0.061029173351766774,0.533,0.673,0.21240000000000006,0.12205834670353356,0.06600000000000006,0.3460000000000001,HIGH,1.0,DROP,0.35317416532964674
04_Over_Saturated,elongated_angle_std,0.394,0.06096556405053594,0.327,0.467,0.21199999999999997,0.12193112810107189,0.06599999999999995,0.346,LOW,1.0,DROP,0.3530068871898928
04_Over_Saturated,elongated_star_count,0.6952,0.049757009556443396,0.61,0.736,0.39039999999999997,0.09951401911288679,0.21999999999999997,0.472,HIGH,1.0,DROP,0.4817285980887114
04_Over_Saturated,elongated_star_ratio,0.46080000000000004,0.061674630116442544,0.384,0.549,0.12720000000000004,0.0719844427636972,0.02400000000000002,0.23199999999999998,LOW,0.6,DROP,0.24724155572363032
04_Over_Saturated,line_angle_std,0.2818,0.11050864219598393,0.164,0.416,0.43640000000000007,0.22101728439196783,0.16800000000000004,0.6719999999999999,LOW,1.0,DROP,0.4746782715608032
04_Over_Saturated,long_line_count,0.1538,0.07563438371534471,0.061,0.27,0.6924,0.15126876743068943,0.45999999999999996,0.878,LOW,1.0,SECONDARY,0.6844531232569311
04_Over_Saturated,longest_line_ratio,0.1216,0.053827873820168674,0.056,0.197,0.7567999999999999,0.10765574764033735,0.606,0.888,LOW,1.0,CORE,0.7615944252359662
04_Over_Saturated,max_aspect_ratio,0.7802,0.04745271330493126,0.703,0.827,0.5603999999999999,0.09490542660986252,0.4059999999999999,0.6539999999999999,HIGH,1.0,SECONDARY,0.6144894573390136
04_Over_Saturated,max_streak_area_ratio,0.4516,0.053417600095848575,0.392,0.546,0.13360000000000002,0.05417600945067841,0.06000000000000005,0.21599999999999997,LOW,0.8,DROP,0.29270239905493217
04_Over_Saturated,max_streak_aspect_ratio,0.46560000000000007,0.11536827986929508,0.26,0.609,0.1688,0.17169554449664673,0.010000000000000009,0.48,LOW,0.6,DROP,0.25179044555033536
04_Over_Saturated,max_streak_length_ratio,0.5308,0.06580699051012744,0.434,0.634,0.11760000000000004,0.08536416109820326,0.008000000000000007,0.268,HIGH,0.6,DROP,0.23678358389017967
04_Over_Saturated,mean_aspect_ratio,0.5336000000000001,0.044061774816727454,0.466,0.586,0.09439999999999997,0.058053768180885514,0.008000000000000007,0.17199999999999993,HIGH,0.8,DROP,0.25907462318191143
04_Over_Saturated,mean_circularity,0.8356,0.012026637102698337,0.822,0.858,0.6712,0.024053274205396675,0.6439999999999999,0.716,HIGH,1.0,CORE,0.7428346725794603
04_Over_Saturated,mean_fwhm,0.346,0.060847349983380546,0.282,0.428,0.3080000000000001,0.12169469996676109,0.14400000000000002,0.43600000000000005,LOW,1.0,DROP,0.419630530003324
04_Over_Saturated,mean_hfr,0.2992,0.0512343634682817,0.236,0.364,0.4016,0.1024687269365634,0.272,0.528,LOW,1.0,DROP,0.5020731273063437
04_Over_Saturated,mean_hollowness,0.6516,0.054485227355678685,0.56,0.7,0.3032,0.10897045471135738,0.1200000000000001,0.3999999999999999,HIGH,1.0,DROP,0.41154295452886436
04_Over_Saturated,mean_intensity,0.059199999999999996,0.025848791074245616,0.034,0.102,0.8815999999999999,0.051697582148491225,0.796,0.9319999999999999,LOW,1.0,CORE,0.8803502417851509
04_Over_Saturated,mean_star_area,0.48760000000000003,0.0807900984032078,0.378,0.606,0.14,0.08439905212737875,0.016000000000000014,0.244,LOW,0.6,DROP,0.24936009478726212
04_Over_Saturated,median_eccentricity,0.8564,0.04526190451141004,0.792,0.924,0.7128,0.09052380902282009,0.5840000000000001,0.8480000000000001,HIGH,1.0,CORE,0.736907619097718
04_Over_Saturated,median_fwhm,0.31800000000000006,0.05158294291720859,0.248,0.374,0.364,0.10316588583441719,0.252,0.504,LOW,1.0,DROP,0.47908341141655825
04_Over_Saturated,median_fwhm_ratio,0.8524,0.04046529377132953,0.792,0.906,0.7048,0.08093058754265905,0.5840000000000001,0.812,HIGH,1.0,CORE,0.7342669412457341
04_Over_Saturated,median_hfr,0.2888,0.04938987750541602,0.228,0.362,0.4224,0.09877975501083205,0.276,0.544,LOW,1.0,DROP,0.5130020244989169
04_Over_Saturated,saturated_ratio,0.1644,0.049576607386952166,0.081,0.233,0.6712,0.0991532147739043,0.534,0.838,LOW,1.0,CORE,0.7023246785226096
04_Over_Saturated,sharpness,0.0744,0.026665333299998335,0.036,0.11,0.8512000000000001,0.05333066659999667,0.78,0.928,LOW,1.0,CORE,0.8617069333400004
