class,feature,fold,auc,strength,direction,n_positive,n_negative
01_Good,max_streak_aspect_ratio,5,0.413,0.17400000000000004,LOW,10,50
01_Good,max_streak_length_ratio,1,0.414,0.17200000000000004,LOW,10,50
01_Good,max_streak_length_ratio,2,0.452,0.09599999999999997,LOW,10,50
01_Good,max_streak_length_ratio,3,0.384,0.23199999999999998,LOW,10,50
01_Good,max_streak_length_ratio,4,0.45,0.09999999999999998,LOW,10,50
01_Good,max_streak_length_ratio,5,0.442,0.11599999999999999,LOW,10,50
01_Good,mean_aspect_ratio,1,0.43,0.14,LOW,10,50
01_Good,mean_aspect_ratio,2,0.504,0.008000000000000007,HIGH,10,50
01_Good,mean_aspect_ratio,3,0.65,0.30000000000000004,HIGH,10,50
01_Good,mean_aspect_ratio,4,0.444,0.11199999999999999,LOW,10,50
01_Good,mean_aspect_ratio,5,0.608,0.21599999999999997,HIGH,10,50
01_Good,mean_circularity,1,0.74,0.48,HIGH,10,50
01_Good,mean_circularity,2,0.688,0.3759999999999999,HIGH,10,50
01_Good,mean_circularity,3,0.638,0.276,HIGH,10,50
01_Good,mean_circularity,4,0.7,0.3999999999999999,HIGH,10,50
01_Good,mean_circularity,5,0.646,0.29200000000000004,HIGH,10,50
01_Good,mean_fwhm,1,0.638,0.276,HIGH,10,50
01_Good,mean_fwhm,2,0.646,0.29200000000000004,HIGH,10,50
01_Good,mean_fwhm,3,0.694,0.3879999999999999,HIGH,10,50
01_Good,mean_fwhm,4,0.632,0.264,HIGH,10,50
01_Good,mean_fwhm,5,0.688,0.3759999999999999,HIGH,10,50
01_Good,mean_hfr,1,0.712,0.42399999999999993,HIGH,10,50
01_Good,mean_hfr,2,0.664,0.32800000000000007,HIGH,10,50
01_Good,mean_hfr,3,0.728,0.45599999999999996,HIGH,10,50
01_Good,mean_hfr,4,0.658,0.31600000000000006,HIGH,10,50
01_Good,mean_hfr,5,0.66,0.32000000000000006,HIGH,10,50
01_Good,mean_hollowness,1,0.481,0.038000000000000034,LOW,10,50
01_Good,mean_hollowness,2,0.579,0.15799999999999992,HIGH,10,50
01_Good,mean_hollowness,3,0.512,0.02400000000000002,HIGH,10,50
01_Good,mean_hollowness,4,0.571,0.1419999999999999,HIGH,10,50
01_Good,mean_hollowness,5,0.624,0.248,HIGH,10,50
01_Good,mean_intensity,1,0.654,0.30800000000000005,HIGH,10,50
01_Good,mean_intensity,2,0.554,0.1080000000000001,HIGH,10,50
01_Good,mean_intensity,3,0.668,0.3360000000000001,HIGH,10,50
01_Good,mean_intensity,4,0.504,0.008000000000000007,HIGH,10,50
01_Good,mean_intensity,5,0.524,0.04800000000000004,HIGH,10,50
01_Good,mean_star_area,1,0.576,0.1519999999999999,HIGH,10,50
01_Good,mean_star_area,2,0.654,0.30800000000000005,HIGH,10,50
01_Good,mean_star_area,3,0.652,0.30400000000000005,HIGH,10,50
01_Good,mean_star_area,4,0.658,0.31600000000000006,HIGH,10,50
01_Good,mean_star_area,5,0.639,0.278,HIGH,10,50
01_Good,median_eccentricity,1,0.352,0.29600000000000004,LOW,10,50
01_Good,median_eccentricity,2,0.348,0.30400000000000005,LOW,10,50
01_Good,median_eccentricity,3,0.488,0.02400000000000002,LOW,10,50
01_Good,median_eccentricity,4,0.478,0.04400000000000004,LOW,10,50
01_Good,median_eccentricity,5,0.472,0.05600000000000005,LOW,10,50
01_Good,median_fwhm,1,0.658,0.31600000000000006,HIGH,10,50
01_Good,median_fwhm,2,0.708,0.4159999999999999,HIGH,10,50
01_Good,median_fwhm,3,0.722,0.44399999999999995,HIGH,10,50
01_Good,median_fwhm,4,0.648,0.29600000000000004,HIGH,10,50
01_Good,median_fwhm,5,0.692,0.3839999999999999,HIGH,10,50
01_Good,median_fwhm_ratio,1,0.352,0.29600000000000004,LOW,10,50
01_Good,median_fwhm_ratio,2,0.36,0.28,LOW,10,50
01_Good,median_fwhm_ratio,3,0.488,0.02400000000000002,LOW,10,50
01_Good,median_fwhm_ratio,4,0.478,0.04400000000000004,LOW,10,50
01_Good,median_fwhm_ratio,5,0.47,0.06000000000000005,LOW,10,50
01_Good,median_hfr,1,0.706,0.4119999999999999,HIGH,10,50
01_Good,median_hfr,2,0.72,0.43999999999999995,HIGH,10,50
01_Good,median_hfr,3,0.764,0.528,HIGH,10,50
01_Good,median_hfr,4,0.674,0.3480000000000001,HIGH,10,50
01_Good,median_hfr,5,0.662,0.32400000000000007,HIGH,10,50
01_Good,saturated_ratio,1,0.65,0.30000000000000004,HIGH,10,50
01_Good,saturated_ratio,2,0.506,0.01200000000000001,HIGH,10,50
01_Good,saturated_ratio,3,0.576,0.1519999999999999,HIGH,10,50
01_Good,saturated_ratio,4,0.486,0.028000000000000025,LOW,10,50
01_Good,saturated_ratio,5,0.399,0.20199999999999996,LOW,10,50
01_Good,sharpness,1,0.676,0.3520000000000001,HIGH,10,50
01_Good,sharpness,2,0.564,0.1279999999999999,HIGH,10,50
01_Good,sharpness,3,0.592,0.18399999999999994,HIGH,10,50
01_Good,sharpness,4,0.506,0.01200000000000001,HIGH,10,50
01_Good,sharpness,5,0.56,0.1200000000000001,HIGH,10,50
01_Good,star_count,1,0.599,0.19799999999999995,HIGH,10,50
01_Good,star_count,2,0.589,0.17799999999999994,HIGH,10,50
01_Good,star_count,3,0.546,0.09200000000000008,HIGH,10,50
01_Good,star_count,4,0.626,0.252,HIGH,10,50
01_Good,star_count,5,0.571,0.1419999999999999,HIGH,10,50
01_Good,std_intensity,1,0.672,0.3440000000000001,HIGH,10,50
01_Good,std_intensity,2,0.578,0.15599999999999992,HIGH,10,50
01_Good,std_intensity,3,0.608,0.21599999999999997,HIGH,10,50
01_Good,std_intensity,4,0.49,0.020000000000000018,LOW,10,50
01_Good,std_intensity,5,0.53,0.06000000000000005,HIGH,10,50
01_Good,streak_count,1,0.39,0.21999999999999997,LOW,10,50
01_Good,streak_count,2,0.39,0.21999999999999997,LOW,10,50
01_Good,streak_count,3,0.38,0.24,LOW,10,50
01_Good,streak_count,4,0.39,0.21999999999999997,LOW,10,50
01_Good,streak_count,5,0.42,0.16000000000000003,LOW,10,50
01_Good,valid_profile_count,1,0.599,0.19799999999999995,HIGH,10,50
01_Good,valid_profile_count,2,0.589,0.17799999999999994,HIGH,10,50
01_Good,valid_profile_count,3,0.546,0.09200000000000008,HIGH,10,50
01_Good,valid_profile_count,4,0.626,0.252,HIGH,10,50
01_Good,valid_profile_count,5,0.571,0.1419999999999999,HIGH,10,50
02_Out_of_Focus,axis_aligned_line_ratio,1,0.519,0.038000000000000034,HIGH,10,50
