class_a,class_b,feature,fold,auc,strength,direction,n_a,n_b
01_Good,02_Out_of_Focus,max_aspect_ratio,3,0.585,0.16999999999999993,HIGH,10,10
01_Good,02_Out_of_Focus,max_aspect_ratio,4,0.405,0.18999999999999995,LOW,10,10
01_Good,02_Out_of_Focus,max_aspect_ratio,5,0.47,0.06000000000000005,LOW,10,10
01_Good,02_Out_of_Focus,max_streak_area_ratio,1,0.57,0.1399999999999999,HIGH,10,10
01_Good,02_Out_of_Focus,max_streak_area_ratio,2,0.64,0.28,HIGH,10,10
01_Good,02_Out_of_Focus,max_streak_area_ratio,3,0.51,0.020000000000000018,HIGH,10,10
01_Good,02_Out_of_Focus,max_streak_area_ratio,4,0.55,0.10000000000000009,HIGH,10,10
01_Good,02_Out_of_Focus,max_streak_area_ratio,5,0.46,0.07999999999999996,LOW,10,10
01_Good,02_Out_of_Focus,max_streak_aspect_ratio,1,0.5,0.0,NONE,10,10
01_Good,02_Out_of_Focus,max_streak_aspect_ratio,2,0.55,0.10000000000000009,HIGH,10,10
01_Good,02_Out_of_Focus,max_streak_aspect_ratio,3,0.68,0.3600000000000001,HIGH,10,10
01_Good,02_Out_of_Focus,max_streak_aspect_ratio,4,0.7,0.3999999999999999,HIGH,10,10
01_Good,02_Out_of_Focus,max_streak_aspect_ratio,5,0.48,0.040000000000000036,LOW,10,10
01_Good,02_Out_of_Focus,max_streak_length_ratio,1,0.65,0.30000000000000004,HIGH,10,10
01_Good,02_Out_of_Focus,max_streak_length_ratio,2,0.65,0.30000000000000004,HIGH,10,10
01_Good,02_Out_of_Focus,max_streak_length_ratio,3,0.55,0.10000000000000009,HIGH,10,10
01_Good,02_Out_of_Focus,max_streak_length_ratio,4,0.63,0.26,HIGH,10,10
01_Good,02_Out_of_Focus,max_streak_length_ratio,5,0.61,0.21999999999999997,HIGH,10,10
01_Good,02_Out_of_Focus,mean_aspect_ratio,1,0.19,0.62,LOW,10,10
01_Good,02_Out_of_Focus,mean_aspect_ratio,2,0.26,0.48,LOW,10,10
01_Good,02_Out_of_Focus,mean_aspect_ratio,3,0.57,0.1399999999999999,HIGH,10,10
01_Good,02_Out_of_Focus,mean_aspect_ratio,4,0.28,0.43999999999999995,LOW,10,10
01_Good,02_Out_of_Focus,mean_aspect_ratio,5,0.45,0.09999999999999998,LOW,10,10
01_Good,02_Out_of_Focus,mean_circularity,1,0.97,0.94,HIGH,10,10
01_Good,02_Out_of_Focus,mean_circularity,2,0.72,0.43999999999999995,HIGH,10,10
01_Good,02_Out_of_Focus,mean_circularity,3,0.79,0.5800000000000001,HIGH,10,10
01_Good,02_Out_of_Focus,mean_circularity,4,0.85,0.7,HIGH,10,10
01_Good,02_Out_of_Focus,mean_circularity,5,0.74,0.48,HIGH,10,10
01_Good,02_Out_of_Focus,mean_fwhm,1,0.51,0.020000000000000018,HIGH,10,10
01_Good,02_Out_of_Focus,mean_fwhm,2,0.43,0.14,LOW,10,10
01_Good,02_Out_of_Focus,mean_fwhm,3,0.51,0.020000000000000018,HIGH,10,10
01_Good,02_Out_of_Focus,mean_fwhm,4,0.48,0.040000000000000036,LOW,10,10
01_Good,02_Out_of_Focus,mean_fwhm,5,0.69,0.3799999999999999,HIGH,10,10
01_Good,02_Out_of_Focus,mean_hfr,1,0.7,0.3999999999999999,HIGH,10,10
01_Good,02_Out_of_Focus,mean_hfr,2,0.61,0.21999999999999997,HIGH,10,10
01_Good,02_Out_of_Focus,mean_hfr,3,0.67,0.3400000000000001,HIGH,10,10
