image,true_class,width,height,mean_intensity,std_intensity,background_median,background_mad,sharpness,saturated_ratio,bright_area_ratio,star_count,mean_star_area,mean_circularity,elongated_star_count,elongated_star_ratio,elongated_angle_consistency,elongated_angle_std,mean_aspect_ratio,max_aspect_ratio,mean_hollowness,valid_profile_count,mean_fwhm,median_fwhm,mean_hfr,median_hfr,median_eccentricity,median_fwhm_ratio,long_line_count,longest_line_ratio,axis_aligned_line_ratio,diagonal_line_ratio,line_angle_std,streak_count,max_streak_length_ratio,max_streak_aspect_ratio,max_streak_area_ratio,score_01_Good,score_02_Out_of_Focus,score_03_Tracking_Error,score_04_Over_Saturated,score_05_No_Star,score_06_Satellite
2606063H5R_1_2.png,02_Out_of_Focus,1024,1024,99.3370361328125,53.27890319787851,95.0,53.373599999999996,41745.5311350533,0.0209197998046875,0.007916450500488281,110,64.50909090909092,0.7019220709344139,13,0.11818181818181818,0.5237674278697262,32.580788790030304,1.2034489248125613,2.3333333333333335,0.016399290844779972,110,27.44752326230239,26.556932152770425,14.734154288329893,14.588297116876168,0.3907625974469663,1.0863860751283583,1236,0.9990234375,0.010517799352750809,0.9862459546925566,5.31237315324415,0,0.1171100129890676,2.4651157468024336,0.010880470275878906,0.5160070656121194,0.5580736745435805,0.5752190028971204,0.0,0.209940609748131,0.28922062982369856
2606065NHT_1_2 (2).png,02_Out_of_Focus,1024,1024,53.163055419921875,35.770461001729146,48.0,26.686799999999998,9123.392560689463,0.0,0.01994800567626953,174,104.49137931034483,0.6411850552698606,23,0.13218390804597702,0.3828478240375641,39.69811372093383,1.2127471063711728,3.75,0.1383142039051269,174,29.42180750926102,33.50375367601456,13.853578824933239,15.191209456737026,0.5048078782182841,1.1584423917854112,1247,0.9990234375,0.014434643143544507,0.9847634322373697,5.840509884536383,0,0.10566814460601201,2.432835690226579,0.010961055755615234,0.5709512490732395,0.930584651283381,0.46815119142391853,0.04498186978426847,0.1499192460594264,0.3050847457627119
260606CXCN_1_2.png,02_Out_of_Focus,1024,1024,114.78224849700928,57.046312006141115,113.0,56.3388,58069.515475618115,0.02065563201904297,7.343292236328125e-05,6,6.166666666666667,0.7802231338231413,0,0.0,0.0,180.0,1.0333333333333334,1.2,3.92156862538684e-09,6,11.16867819707791,10.292051268371084,5.651627787994779,5.417689780062042,0.4475590903630031,1.118693716397083,1275,0.99609375,0.01803921568627451,0.9819607843137255,5.98178457674959,0,0.1270582286710335,2.5,0.015110015869140625,0.6262013580556245,0.12179066489896705,0.4417891962757619,0.16967022074067103,0.5561224489795918,0.28960440868904175
260606JD06_1_2.png,02_Out_of_Focus,1024,1024,47.83530902862549,32.40866942614084,43.0,23.7216,8459.907863105524,0.0,0.019433021545410156,159,115.36477987421384,0.6925594827855518,28,0.1761006289308176,0.0995529551207658,61.53718178385088,1.2366399778502366,4.333333333333333,0.11011276307733642,159,28.509376681063998,32.980108401615084,13.259689442612927,13.552838656790069,0.49312219613784597,1.1494780624465186,1253,0.9970703125,0.01596169193934557,0.9816440542697525,5.958215378722843,0,0.0737219187161035,6.0,0.0032625198364257812,0.5409903359419282,0.951840923062373,0.5359465114806312,0.040300195867365066,0.1524883278913779,0.3457627118644068
260606L395_1_2.png,02_Out_of_Focus,1024,1024,77.75902462005615,44.05427614234114,75.0,40.0302,23912.63861896369,0.0,0.010109901428222656,110,85.60909090909091,0.71590836402496,10,0.09090909090909091,0.2806711843763158,45.66749417140118,1.1838403155621,2.7,0.04226320640515561,110,26.836535087072974,24.862529089637228,13.58937358878652,12.129994261101537,0.44119315047135965,1.114315175134473,1228,0.9990234375,0.012214983713355049,0.9869706840390879,5.390717715521163,0,0.1330977877689476,2.8,0.009518623352050781,0.6638982172949389,0.7620061054160333,0.5567877340336715,0.0,0.19899822416759674,0.3050847457627119
260606OYH0_1_1.png,02_Out_of_Focus,1024,1024,118.45717716217041,58.20715173195574,120.0,56.3388,61069.87986096591,0.02254009246826172,3.528594970703125e-05,3,6.333333333333333,0.7148506444778935,2,0.6666666666666666,6.123233995736766e-17,90.0,1.5555555555555556,2.0,3.92156862538684e-09,3,11.59554549485018,12.329898529942273,6.499392968977855,7.107586400885064,0.5152957206402851,1.1668442075105776,1223,0.9970703125,0.008994276369582993,0.9860997547015535,5.636327135612187,0,0.13468648161342936,3.7142857142857144,0.010674476623535156,0.05,0.18817340344880149,0.7682365196819388,0.11273759516222788,0.7091836734693877,0.28686669375070944
260606WEOA_1_2.png,02_Out_of_Focus,1024,1024,111.03836345672607,56.77955775032954,109.0,54.856199999999994,53020.10036955224,0.02136993408203125,0.0006103515625,14,32.964285714285715,0.5940521589112732,3,0.21428571428571427,0.5288605614836615,32.33610733004261,1.192349515563801,2.0,0.0016806761838853118,14,23.5210654886101,22.266562865045415,11.816329471684899,10.2130458357524,0.3557551989741159,1.0700138614311614,1220,0.99609375,0.010655737704918032,0.9860655737704918,5.281681845938559,0,0.20343834912271908,2.7884614293375267,0.03279924392700195,0.45548981589577653,0.31366859448819673,0.5531777663108476,0.0,0.25,0.30359814703105514
260606YTIR_1_1.png,02_Out_of_Focus,1024,1024,115.63290309906006,56.68609146973369,114.0,59.303999999999995,56658.86350722973,0.021945953369140625,0.00041961669921875,17,16.352941176470587,0.6355865090783179,7,0.4117647058823529,0.39590796322075067,38.998470515970304,1.4993251846193023,2.6666666666666665,3.92156862538684e-09,17,18.90998439999295,12.857287037060965,9.89014247829755,6.444409476424189,0.3626076022197386,1.0730282514700147,1249,0.9970703125,0.012810248198558846,0.9807846277021617,5.808126005839507,0,0.1025990110974487,2.4476328661554407,0.01122140884399414,0.48660485559068656,0.19419971172767056,0.6633321750172751,0.12301535701707782,0.22448979591836735,0.2877298498269144
260606Z6Z9_1_1.png,02_Out_of_Focus,1024,1024,72.4509105682373,42.34586013289039,68.0,34.099799999999995,20718.69297691102,0.0,0.012568473815917969,128,90.41796875,0.6240862299507892,24,0.1875,0.07824929093473679,64.66883426691054,1.2392520076506213,2.5714285714285716,0.030058860853227374,128,28.397514080724605,29.679960572506396,13.86540337697358,13.306480887107043,0.4455400147655045,1.116992400410147,1244,0.998046875,0.016881028938906754,0.979903536977492,6.596592232527684,0,0.08604161639158792,2.7142857142857144,0.008352279663085938,0.55695958232066,0.7767392174695716,0.6732316811085449,0.0,0.1867332371995022,0.3050847457627119
260606Z6Z9_1_2 (2).png,02_Out_of_Focus,1024,1024,50.13778209686279,34.536775047648376,45.0,26.686799999999998,8950.968236734792,0.0,0.020415306091308594,172,109.59883720930233,0.6625285702335532,28,0.16279069767441862,0.4694704538508965,35.22991440026581,1.2179258205941446,2.5714285714285716,0.13972871186793268,172,28.116437497570725,32.57996476380149,13.265847388316583,14.208877859943492,0.5155015417021652,1.1670128392346037,1246,0.998046875,0.015248796147672551,0.9847512038523274,5.562951501725886,0,0.08574970205044541,2.380952326372674,0.009088516235351562,0.542339927545665,0.9405691554467566,0.5139839065643007,0.04923005537553267,0.14758804217487778,0.3050847457627119
